slide,method,inst,iou,recovered,contact,area
280120-07,original,1,0.9764750884574925,1,0.0,10304
280120-07,original,2,0.9648086308759312,1,0.0,7677
280120-07,original,3,0.9754225863320544,1,0.0,9486
280120-07,original,4,0.6071876305892185,1,0.0,11715
280120-07,original,5,0.9592709689417891,1,0.0,10427
280120-07,original,6,0.9639108385422809,1,0.0,8415
280120-07,original,7,0.9655243176687872,1,0.0,9550
280120-07,original,8,0.9771389576047087,1,0.0,11550
280120-07,original,9,0.9673202614379085,1,0.0,8548
280120-07,original,10,0.8818104022059523,1,0.0,10517
280120-07,original,11,0.9728813559322034,1,0.0,9526
280120-07,original,12,0.9702274975272008,1,0.0,9939
280120-07,original,13,0.9751559361454699,1,0.0,9310
280120-07,original,14,0.9685853263072558,1,0.0,9630
280120-07,original,15,0.9740660137830975,1,0.0,10830
280120-07,original,16,0.0,0,0.0,10583
280120-07,original,17,0.7650093136552515,1,0.0,6713
280120-07,original,18,0.9780406919422784,1,0.0,11010
280120-07,original,19,0.0,0,0.0,10030
280120-07,original,20,0.9720445184471125,1,0.0,11236
280120-07,original,21,0.9690527448869752,1,0.0,7311
280120-07,original,22,0.9657404307554961,1,0.0,8771
280120-07,original,23,0.9647352647352647,1,0.0,9723
280120-07,original,24,0.9727017695295641,1,0.0,9143
280120-07,original,25,0.0,0,0.0,7143
280120-07,original,26,0.9692460317460317,1,0.0,7893
280120-07,original,27,0.9722758777411658,1,0.0,8655
280120-07,original,28,0.0,0,0.0,4370
280120-07,original,29,0.9633761823914625,1,0.0,7988
280120-07,original,30,0.9658131299373468,1,0.0,7274
280120-07,original,31,0.5248439450686642,1,0.10628019323671498,8502
280120-07,original,32,0.9646385855434217,1,0.0,5705
280120-07,original,33,0.9684679263449272,1,0.0,8160
280120-07,original,34,0.0,0,0.0,5397
280120-07,original,35,0.967210725735937,1,0.0,6706
280120-07,original,36,0.7848828854720505,1,0.0,6847
280120-07,original,37,0.9733306796696188,1,0.0,9899
280120-07,original,38,0.9522875816993464,1,0.0,7478
280120-07,original,39,0.9767588505540041,1,0.0,10941
280120-07,original,40,0.4781110660721524,0,0.052083333333333336,7146
280120-07,original,41,0.9630467571644042,1,0.0,8962
280120-07,original,42,0.9662734541999841,1,0.0,12446
280120-07,original,43,0.9727272727272728,1,0.0,7134
280120-07,original,44,0.9652261675383063,1,0.0,10568
280120-07,original,45,0.9754025836135197,1,0.0,11125
280120-07,original,46,0.9753656658968437,1,0.0,11546
280120-07,original,47,0.9748673275257835,1,0.0,9788
280120-07,original,48,0.0,0,0.0,10305
280120-07,original,49,0.9612571428571428,1,0.0,8472
280120-07,original,50,0.9757169459962756,1,0.0,13189
280120-07,original,51,0.0,0,0.0,7301
