slide,method,inst,iou,contact,area,fate,rec@0.3,rec@0.5,rec@0.7,rec@0.75
280120-07,original,1,0.9764750884574925,0.0,10304,matched,1,1,1,1
280120-07,original,2,0.9648086308759312,0.0,7677,matched,1,1,1,1
280120-07,original,3,0.9754225863320544,0.0,9486,matched,1,1,1,1
280120-07,original,4,0.6071876305892185,0.0,11715,matched,1,1,0,0
280120-07,original,5,0.9592709689417891,0.0,10427,matched,1,1,1,1
280120-07,original,6,0.9639108385422809,0.0,8415,matched,1,1,1,1
280120-07,original,7,0.9655243176687872,0.0,9550,matched,1,1,1,1
280120-07,original,8,0.9771389576047087,0.0,11550,matched,1,1,1,1
280120-07,original,9,0.9673202614379085,0.0,8548,matched,1,1,1,1
280120-07,original,10,0.8818104022059523,0.0,10517,matched,1,1,1,1
280120-07,original,11,0.9728813559322034,0.0,9526,matched,1,1,1,1
280120-07,original,12,0.9702274975272008,0.0,9939,matched,1,1,1,1
280120-07,original,13,0.9751559361454699,0.0,9310,matched,1,1,1,1
280120-07,original,14,0.9685853263072558,0.0,9630,matched,1,1,1,1
280120-07,original,15,0.9740660137830975,0.0,10830,matched,1,1,1,1
280120-07,original,16,0.0,0.0,10583,deleted_oversize,0,0,0,0
280120-07,original,17,0.7650093136552515,0.0,6713,matched,1,1,1,1
280120-07,original,18,0.9780406919422784,0.0,11010,matched,1,1,1,1
280120-07,original,19,0.0,0.0,10030,deleted_oversize,0,0,0,0
280120-07,original,20,0.9720445184471125,0.0,11236,matched,1,1,1,1
280120-07,original,21,0.9690527448869752,0.0,7311,matched,1,1,1,1
280120-07,original,22,0.9657404307554961,0.0,8771,matched,1,1,1,1
280120-07,original,23,0.9647352647352647,0.0,9723,matched,1,1,1,1
280120-07,original,24,0.9727017695295641,0.0,9143,matched,1,1,1,1
280120-07,original,25,0.0,0.0,7143,not_proposed,0,0,0,0
280120-07,original,26,0.9692460317460317,0.0,7893,matched,1,1,1,1
280120-07,original,27,0.9722758777411658,0.0,8655,matched,1,1,1,1
280120-07,original,28,0.0,0.0,4370,not_proposed,0,0,0,0
280120-07,original,29,0.9633761823914625,0.0,7988,matched,1,1,1,1
280120-07,original,30,0.9658131299373468,0.0,7274,matched,1,1,1,1
280120-07,original,31,0.5248439450686642,0.10628019323671498,8502,matched,1,1,0,0
280120-07,original,32,0.9646385855434217,0.0,5705,matched,1,1,1,1
280120-07,original,33,0.9684679263449272,0.0,8160,matched,1,1,1,1
280120-07,original,34,0.0,0.0,5397,not_proposed,0,0,0,0
280120-07,original,35,0.967210725735937,0.0,6706,matched,1,1,1,1
280120-07,original,36,0.7848828854720505,0.0,6847,matched,1,1,1,1
