method,slide,recall,crowd
cellpose_sam,280120-07,0.9791666666666666,0.22395833333333334
cellpose_sam,280120-08,0.9369369369369369,0.2072072072072072
cellpose_sam,280120-09,0.8615384615384616,0.17692307692307693
cellpose_sam,280120-10,0.9545454545454546,0.35064935064935066
cellpose_sam,280120-11,0.9702380952380952,0.22023809523809523
cellpose_sam,280120-12,0.9631901840490797,0.22085889570552147
cellpose_sam,280120-13,0.9880239520958084,0.23353293413173654
cellpose_sam,280120-14,0.9629629629629629,0.2345679012345679
cellpose_sam,280120-15,0.96,0.152
cellpose_sam,280120-18,0.9621212121212122,0.09090909090909091
cellpose_sam,280120-19,0.9724137931034482,0.1310344827586207
cellpose_sam,280120-20,0.9885057471264368,0.22988505747126436
cellpose_sam,280120-21,0.9946808510638298,0.18617021276595744
cellpose_sam,280120-22,0.9767441860465116,0.09883720930232558
cellpose_sam,280120-24,0.9772727272727273,0.09090909090909091
cellpose_sam,280120-26,0.9919354838709677,0.14516129032258066
cellpose_sam,280120-29,0.9724137931034482,0.2896551724137931
cellpose_sam,280120-30,0.9548872180451128,0.10526315789473684
cellpose_sam,280120-31,0.9878787878787879,0.28484848484848485
cellpose_sam,280120-35,0.9513888888888888,0.24305555555555555
cellpose_sam,280120-36,0.9776119402985075,0.1417910447761194
cellpose_sam,280120-38,0.9818181818181818,0.21818181818181817
cellpose_sam,280120-39,0.9933774834437086,0.10596026490066225
cellpose_sam,280120-40,0.9928571428571429,0.08571428571428572
cellpose_sam,280120-41,0.958904109589041,0.2534246575342466
fix_A,280120-07,0.6822916666666666,0.22395833333333334
fix_A,280120-08,0.6216216216216216,0.2072072072072072
fix_A,280120-09,0.6307692307692307,0.17692307692307693
fix_A,280120-10,0.6558441558441559,0.35064935064935066
fix_A,280120-11,0.7738095238095238,0.22023809523809523
fix_A,280120-12,0.6441717791411042,0.22085889570552147
fix_A,280120-13,0.6946107784431138,0.23353293413173654
fix_A,280120-14,0.7160493827160493,0.2345679012345679
fix_A,280120-15,0.784,0.152
fix_A,280120-18,0.8712121212121212,0.09090909090909091
fix_A,280120-19,0.8206896551724138,0.1310344827586207
fix_A,280120-20,0.6609195402298851,0.22988505747126436
fix_A,280120-21,0.675531914893617,0.18617021276595744
fix_A,280120-22,0.8430232558139535,0.09883720930232558
fix_A,280120-24,0.7878787878787878,0.09090909090909091
fix_A,280120-26,0.6532258064516129,0.14516129032258066
fix_A,280120-29,0.7310344827586207,0.2896551724137931
fix_A,280120-30,0.7443609022556391,0.10526315789473684
fix_A,280120-31,0.5878787878787879,0.28484848484848485
fix_A,280120-35,0.5902777777777778,0.24305555555555555
fix_A,280120-36,0.664179104477612,0.1417910447761194
fix_A,280120-38,0.7212121212121212,0.21818181818181817
fix_A,280120-39,0.7086092715231788,0.10596026490066225
fix_A,280120-40,0.4928571428571429,0.08571428571428572
fix_A,280120-41,0.4657534246575342,0.2534246575342466
fix_B,280120-07,0.65625,0.22395833333333334
fix_B,280120-08,0.5765765765765766,0.2072072072072072
fix_B,280120-09,0.6846153846153846,0.17692307692307693
fix_B,280120-10,0.6428571428571429,0.35064935064935066
fix_B,280120-11,0.7023809523809523,0.22023809523809523
fix_B,280120-12,0.6809815950920245,0.22085889570552147
fix_B,280120-13,0.7125748502994012,0.23353293413173654
fix_B,280120-14,0.6234567901234568,0.2345679012345679
fix_B,280120-15,0.752,0.152
fix_B,280120-18,0.8333333333333334,0.09090909090909091
fix_B,280120-19,0.8068965517241379,0.1310344827586207
fix_B,280120-20,0.7126436781609196,0.22988505747126436
fix_B,280120-21,0.723404255319149,0.18617021276595744
fix_B,280120-22,0.7616279069767442,0.09883720930232558
fix_B,280120-24,0.7803030303030303,0.09090909090909091
fix_B,280120-26,0.7903225806451613,0.14516129032258066
fix_B,280120-29,0.6413793103448275,0.2896551724137931
fix_B,280120-30,0.7518796992481203,0.10526315789473684
fix_B,280120-31,0.6909090909090909,0.28484848484848485
fix_B,280120-35,0.5902777777777778,0.24305555555555555
fix_B,280120-36,0.6791044776119403,0.1417910447761194
fix_B,280120-38,0.7212121212121212,0.21818181818181817
fix_B,280120-39,0.8079470198675497,0.10596026490066225
fix_B,280120-40,0.8,0.08571428571428572
fix_B,280120-41,0.636986301369863,0.2534246575342466
original,280120-07,0.5208333333333334,0.22395833333333334
original,280120-08,0.36036036036036034,0.2072072072072072
original,280120-09,0.5384615384615384,0.17692307692307693
original,280120-10,0.44155844155844154,0.35064935064935066
original,280120-11,0.5297619047619048,0.22023809523809523
original,280120-12,0.6196319018404908,0.22085889570552147
original,280120-13,0.5449101796407185,0.23353293413173654
original,280120-14,0.4567901234567901,0.2345679012345679
original,280120-15,0.584,0.152
original,280120-18,0.75,0.09090909090909091
original,280120-19,0.6620689655172414,0.1310344827586207
original,280120-20,0.5172413793103449,0.22988505747126436
original,280120-21,0.6117021276595744,0.18617021276595744
original,280120-22,0.6511627906976745,0.09883720930232558
original,280120-24,0.7272727272727273,0.09090909090909091
original,280120-26,0.7741935483870968,0.14516129032258066
original,280120-29,0.47586206896551725,0.2896551724137931
original,280120-30,0.5939849624060151,0.10526315789473684
original,280120-31,0.49696969696969695,0.28484848484848485
original,280120-35,0.5069444444444444,0.24305555555555555
original,280120-36,0.6268656716417911,0.1417910447761194
original,280120-38,0.48484848484848486,0.21818181818181817
original,280120-39,0.6754966887417219,0.10596026490066225
original,280120-40,0.40714285714285714,0.08571428571428572
original,280120-41,0.3972602739726027,0.2534246575342466
