slide,method,ws_regions,components,kept,deleted_oversize,deleted_undersize,secs
280120-07,original,279.0,147.0,103,24.0,20.0,0.7670204639434814
280120-07,fix_A_labels,279.0,,138,8.0,133.0,69.107177734375
280120-07,fix_B_labels_local_seeds,354.0,,129,19.0,206.0,88.75529766082764
280120-07,cellpose_sam,,,203,,,22.475048065185547
280120-08,original,103.0,74.0,40,30.0,4.0,0.6107573509216309
280120-08,fix_A_labels,103.0,,72,20.0,11.0,26.765024662017822
280120-08,fix_B_labels_local_seeds,246.0,,64,23.0,159.0,62.41058325767517
280120-08,cellpose_sam,,,113,,,7.807692527770996
280120-09,original,157.0,101.0,70,17.0,14.0,0.6678469181060791
280120-09,fix_A_labels,157.0,,90,7.0,60.0,38.80782771110535
280120-09,fix_B_labels_local_seeds,403.0,,90,11.0,302.0,100.9812114238739
280120-09,cellpose_sam,,,119,,,9.136149883270264
280120-10,original,156.0,103.0,70,28.0,5.0,0.642498254776001
280120-10,fix_A_labels,156.0,,112,14.0,30.0,38.625893115997314
280120-10,fix_B_labels_local_seeds,393.0,,109,14.0,270.0,99.75088477134705
280120-10,cellpose_sam,,,161,,,8.94033408164978
280120-11,original,169.0,125.0,89,30.0,6.0,0.7030248641967773
280120-11,fix_A_labels,169.0,,136,14.0,19.0,42.09062886238098
280120-11,fix_B_labels_local_seeds,369.0,,118,22.0,229.0,93.40987944602966
280120-11,cellpose_sam,,,169,,,11.049879550933838
280120-12,original,195.0,131.0,102,22.0,7.0,0.7040550708770752
280120-12,fix_A_labels,195.0,,111,15.0,69.0,47.959065437316895
280120-12,fix_B_labels_local_seeds,317.0,,112,19.0,186.0,79.56440353393555
280120-12,cellpose_sam,,,162,,,9.191492795944214
280120-13,original,235.0,124.0,91,23.0,10.0,0.6877944469451904
280120-13,fix_A_labels,235.0,,121,11.0,103.0,58.320855140686035
280120-13,fix_B_labels_local_seeds,394.0,,122,16.0,256.0,98.87833642959595
280120-13,cellpose_sam,,,168,,,8.796984434127808
280120-14,original,177.0,114.0,74,29.0,11.0,0.6237809658050537
280120-14,fix_A_labels,177.0,,117,17.0,43.0,43.772414445877075
280120-14,fix_B_labels_local_seeds,328.0,,102,22.0,204.0,82.24445366859436
280120-14,cellpose_sam,,,164,,,9.309983968734741
280120-15,original,145.0,100.0,73,23.0,4.0,0.6172688007354736
280120-15,fix_A_labels,145.0,,103,14.0,28.0,36.33034563064575
280120-15,fix_B_labels_local_seeds,336.0,,95,16.0,225.0,85.20834684371948
280120-15,cellpose_sam,,,122,,,8.784260988235474
280120-18,original,151.0,118.0,99,14.0,5.0,0.6712303161621094
280120-18,fix_A_labels,151.0,,118,7.0,26.0,37.22556018829346
280120-18,fix_B_labels_local_seeds,214.0,,110,11.0,93.0,53.33022713661194
280120-18,cellpose_sam,,,130,,,8.61014461517334
280120-19,original,192.0,127.0,98,19.0,10.0,0.6662821769714355
280120-19,fix_A_labels,192.0,,121,6.0,65.0,47.12207555770874
280120-19,fix_B_labels_local_seeds,311.0,,117,11.0,183.0,79.14017653465271
280120-19,cellpose_sam,,,142,,,8.883383512496948
280120-20,original,205.0,128.0,90,20.0,18.0,0.667395830154419
280120-20,fix_A_labels,205.0,,119,12.0,74.0,51.962512254714966
280120-20,fix_B_labels_local_seeds,273.0,,125,16.0,132.0,67.96540427207947
280120-20,cellpose_sam,,,180,,,9.31878924369812
280120-21,original,311.0,160.0,116,26.0,18.0,0.7411031723022461
280120-21,fix_A_labels,311.0,,136,11.0,164.0,76.43736410140991
280120-21,fix_B_labels_local_seeds,258.0,,139,15.0,104.0,64.29190444946289
280120-21,cellpose_sam,,,206,,,9.60657262802124
280120-22,original,191.0,143.0,113,23.0,7.0,0.7125046253204346
280120-22,fix_A_labels,191.0,,148,10.0,33.0,46.72119188308716
280120-22,fix_B_labels_local_seeds,211.0,,132,16.0,63.0,52.70127272605896
280120-22,cellpose_sam,,,169,,,9.438989877700806
280120-24,original,162.0,124.0,96,12.0,16.0,0.6751561164855957
280120-24,fix_A_labels,162.0,,107,4.0,51.0,39.67910432815552
280120-24,fix_B_labels_local_seeds,286.0,,105,10.0,171.0,70.48882746696472
280120-24,cellpose_sam,,,129,,,8.37892460823059
280120-26,original,216.0,118.0,98,9.0,11.0,0.6635582447052002
280120-26,fix_A_labels,216.0,,91,9.0,116.0,52.553428411483765
280120-26,fix_B_labels_local_seeds,182.0,,99,9.0,74.0,45.32208967208862
280120-26,cellpose_sam,,,126,,,8.509294033050537
280120-29,original,178.0,107.0,71,29.0,7.0,0.6398131847381592
