slide,method,ws_regions,components,kept,deleted_oversize,deleted_undersize,secs
280120-07,original,279.0,147.0,103,24.0,20.0,0.8184163570404053
280120-07,fix_A,279.0,,138,8.0,133.0,78.23008894920349
280120-07,fix_B,354.0,,129,19.0,206.0,99.41804671287537
280120-07,cellpose_sam,,,203,,,12.636844873428345
280120-08,original,103.0,74.0,40,30.0,4.0,0.615311861038208
280120-08,fix_A,103.0,,72,20.0,11.0,28.679278135299683
280120-08,fix_B,246.0,,64,23.0,159.0,69.87120771408081
280120-08,cellpose_sam,,,113,,,7.753824710845947
280120-09,original,157.0,101.0,70,17.0,14.0,0.621312141418457
280120-09,fix_A,157.0,,90,7.0,60.0,43.56344437599182
280120-09,fix_B,403.0,,90,11.0,302.0,113.65236139297485
280120-09,cellpose_sam,,,119,,,8.883842945098877
280120-10,original,156.0,103.0,70,28.0,5.0,0.7163774967193604
280120-10,fix_A,156.0,,112,14.0,30.0,43.25707674026489
280120-10,fix_B,393.0,,109,14.0,270.0,110.21567463874817
280120-10,cellpose_sam,,,161,,,8.599226713180542
280120-11,original,169.0,125.0,89,30.0,6.0,0.7387251853942871
280120-11,fix_A,169.0,,136,14.0,19.0,46.898913860321045
280120-11,fix_B,369.0,,118,22.0,229.0,103.8494086265564
280120-11,cellpose_sam,,,169,,,10.527961254119873
280120-12,original,195.0,131.0,102,22.0,7.0,0.7240684032440186
280120-12,fix_A,195.0,,111,15.0,69.0,53.9601149559021
280120-12,fix_B,317.0,,112,19.0,186.0,89.0331711769104
280120-12,cellpose_sam,,,162,,,8.724289417266846
280120-13,original,235.0,124.0,91,23.0,10.0,0.7826063632965088
280120-13,fix_A,235.0,,121,11.0,103.0,64.91898989677429
280120-13,fix_B,394.0,,122,16.0,256.0,110.47287559509277
280120-13,cellpose_sam,,,168,,,8.377318143844604
280120-14,original,177.0,114.0,74,29.0,11.0,0.6933338642120361
280120-14,fix_A,177.0,,117,17.0,43.0,49.05180335044861
280120-14,fix_B,328.0,,102,22.0,204.0,92.49225068092346
280120-14,cellpose_sam,,,164,,,8.734081506729126
280120-15,original,145.0,100.0,73,23.0,4.0,0.637537956237793
280120-15,fix_A,145.0,,103,14.0,28.0,40.232810735702515
280120-15,fix_B,336.0,,95,16.0,225.0,94.157790184021
280120-15,cellpose_sam,,,122,,,8.172520637512207
280120-18,original,151.0,118.0,99,14.0,5.0,0.6981735229492188
280120-18,fix_A,151.0,,118,7.0,26.0,41.816882371902466
280120-18,fix_B,214.0,,110,11.0,93.0,60.52715730667114
280120-18,cellpose_sam,,,130,,,8.135009527206421
280120-19,original,192.0,127.0,98,19.0,10.0,0.7038683891296387
280120-19,fix_A,192.0,,121,6.0,65.0,53.31113624572754
280120-19,fix_B,311.0,,117,11.0,183.0,87.43323254585266
280120-19,cellpose_sam,,,142,,,8.285548210144043
280120-20,original,205.0,128.0,90,20.0,18.0,0.6811702251434326
280120-20,fix_A,205.0,,119,12.0,74.0,56.333178758621216
280120-20,fix_B,273.0,,125,16.0,132.0,76.6812515258789
280120-20,cellpose_sam,,,180,,,8.843249082565308
280120-21,original,311.0,160.0,116,26.0,18.0,0.7954933643341064
280120-21,fix_A,311.0,,136,11.0,164.0,86.03049659729004
280120-21,fix_B,258.0,,139,15.0,104.0,72.7647271156311
280120-21,cellpose_sam,,,206,,,9.116092920303345
280120-22,original,191.0,143.0,113,23.0,7.0,0.7254948616027832
280120-22,fix_A,191.0,,148,10.0,33.0,52.537331342697144
280120-22,fix_B,211.0,,132,16.0,63.0,59.36309099197388
280120-22,cellpose_sam,,,169,,,8.950726985931396
280120-24,original,162.0,124.0,96,12.0,16.0,0.7002005577087402
280120-24,fix_A,162.0,,107,4.0,51.0,44.907089710235596
280120-24,fix_B,286.0,,105,10.0,171.0,80.37687230110168
280120-24,cellpose_sam,,,129,,,7.933479309082031
280120-26,original,216.0,118.0,98,9.0,11.0,0.676811933517456
280120-26,fix_A,216.0,,91,9.0,116.0,59.56800937652588
280120-26,fix_B,182.0,,99,9.0,74.0,51.11582374572754
280120-26,cellpose_sam,,,126,,,7.9679601192474365
280120-29,original,178.0,107.0,71,29.0,7.0,0.6608219146728516
280120-29,fix_A,178.0,,118,11.0,49.0,49.19583582878113
280120-29,fix_B,278.0,,97,23.0,158.0,78.11975574493408
280120-29,cellpose_sam,,,149,,,8.913912534713745
280120-30,original,188.0,103.0,82,15.0,6.0,0.6542050838470459
280120-30,fix_A,188.0,,107,5.0,76.0,51.95531225204468
280120-30,fix_B,337.0,,104,9.0,224.0,94.63881754875183
280120-30,cellpose_sam,,,138,,,8.809336185455322
280120-31,original,194.0,122.0,85,20.0,17.0,0.6806693077087402
280120-31,fix_A,194.0,,107,11.0,76.0,53.995686769485474
280120-31,fix_B,239.0,,116,18.0,105.0,67.29221439361572
280120-31,cellpose_sam,,,167,,,8.784250259399414
280120-35,original,187.0,116.0,76,23.0,17.0,0.6497652530670166
280120-35,fix_A,187.0,,88,18.0,81.0,51.84551525115967
280120-35,fix_B,147.0,,87,24.0,36.0,41.43789339065552
280120-35,cellpose_sam,,,142,,,8.853219032287598
280120-36,original,189.0,111.0,85,18.0,8.0,0.6699917316436768
280120-36,fix_A,189.0,,95,13.0,81.0,52.07565951347351
280120-36,fix_B,270.0,,91,19.0,160.0,76.05122756958008
280120-36,cellpose_sam,,,141,,,8.317063570022583
280120-38,original,148.0,111.0,87,13.0,11.0,0.7032368183135986
280120-38,fix_A,148.0,,121,5.0,22.0,40.97135305404663
280120-38,fix_B,367.0,,122,9.0,236.0,104.028000831604
280120-38,cellpose_sam,,,163,,,8.295055389404297
280120-39,original,164.0,128.0,103,9.0,16.0,0.6986937522888184
280120-39,fix_A,164.0,,113,5.0,46.0,45.492788314819336
280120-39,fix_B,291.0,,124,7.0,160.0,81.93346953392029
280120-39,cellpose_sam,,,152,,,7.919642925262451
280120-40,original,109.0,85.0,66,13.0,6.0,0.6875283718109131
280120-40,fix_A,109.0,,84,6.0,19.0,30.330890417099
280120-40,fix_B,211.0,,114,15.0,82.0,59.22821807861328
280120-40,cellpose_sam,,,144,,,9.459330797195435
280120-41,original,117.0,85.0,63,12.0,10.0,0.6609618663787842
280120-41,fix_A,117.0,,76,6.0,35.0,32.490723848342896
280120-41,fix_B,223.0,,96,18.0,109.0,62.39341759681702
280120-41,cellpose_sam,,,144,,,9.388395071029663
