alpha,slide,pos,recall
0.1,080119-07,1,63.11111111111111
0.1,080119-10,1,52.98507462686567
0.1,080119-25,0,74.76190476190476
0.1,080119-39,1,67.9245283018868
0.1,080119-44,1,53.37837837837838
0.1,080119-45,1,32.460732984293195
0.1,080119-46,1,72.32142857142857
0.1,080119-47,0,69.43005181347151
0.1,080119-48,0,58.63874345549738
0.1,080119-49,0,56.038647342995176
0.1,080119-55,1,48.59154929577465
0.1,101017-04,0,73.96449704142012
0.1,101017-07,1,46.15384615384615
0.1,101017-09,1,61.5819209039548
0.1,101017-11,1,68.6046511627907
0.1,101017-12,1,74.87179487179488
0.1,101017-15,0,69.31818181818183
0.1,101017-16,0,83.52941176470588
0.1,101017-17,1,62.7906976744186
0.1,101017-18,0,42.924528301886795
0.1,101017-19,1,70.34482758620689
0.1,101017-21,1,72.46376811594203
0.1,101017-24,1,83.97790055248619
0.1,101017-26,0,84.71337579617835
0.15,080119-07,1,63.55555555555556
0.15,080119-10,1,55.223880597014926
0.15,080119-25,0,75.23809523809524
0.15,080119-39,1,67.9245283018868
0.15,080119-44,1,54.054054054054056
0.15,080119-45,1,34.031413612565444
0.15,080119-46,1,67.85714285714286
0.15,080119-47,0,69.43005181347151
0.15,080119-48,0,60.73298429319372
0.15,080119-49,0,56.52173913043478
0.15,080119-55,1,51.40845070422535
0.15,101017-04,0,75.14792899408283
0.15,101017-07,1,47.8021978021978
0.15,101017-09,1,62.71186440677966
0.15,101017-11,1,67.44186046511628
0.15,101017-12,1,73.84615384615385
0.15,101017-15,0,70.45454545454545
0.15,101017-16,0,84.11764705882354
0.15,101017-17,1,64.53488372093024
0.15,101017-18,0,41.0377358490566
0.15,101017-19,1,70.34482758620689
0.15,101017-21,1,69.56521739130434
0.15,101017-24,1,77.34806629834254
0.15,101017-26,0,85.35031847133759
0.2,080119-07,1,60.0
0.2,080119-10,1,54.47761194029851
0.2,080119-25,0,76.19047619047619
0.2,080119-39,1,67.9245283018868
0.2,080119-44,1,55.4054054054054
0.2,080119-45,1,31.93717277486911
0.2,080119-46,1,52.67857142857143
0.2,080119-47,0,68.9119170984456
0.2,080119-48,0,62.82722513089005
0.2,080119-49,0,52.65700483091788
0.2,080119-55,1,51.40845070422535
0.2,101017-04,0,74.55621301775149
0.2,101017-07,1,49.45054945054945
0.2,101017-09,1,62.14689265536724
0.2,101017-11,1,65.69767441860465
0.2,101017-12,1,64.61538461538461
0.2,101017-15,0,72.72727272727273
0.2,101017-16,0,81.76470588235294
