slide,pos,ridge_med,fmax,ratio,recall,n_cells
080119-07,1,46.134891510009766,118.0511703491211,0.3908041857913969,47.11111111111111,225
080119-10,1,46.35039138793945,73.78759765625,0.6281596482361349,54.47761194029851,134
080119-25,0,48.06744384765625,66.7100830078125,0.7205424079899138,75.23809523809524,210
080119-39,1,45.93798828125,71.93798828125,0.638577605223683,66.66666666666666,159
080119-44,1,42.451942443847656,69.1038818359375,0.6143206621103376,51.35135135135135,148
080119-45,1,44.3472900390625,109.451171875,0.4051787594353932,24.083769633507853,191
080119-46,1,35.97984313964844,144.09141540527344,0.24970150399627244,18.75,112
080119-47,0,45.337989807128906,75.968994140625,0.5967959734099476,64.24870466321244,193
080119-48,0,51.928688049316406,63.92558670043945,0.8123302534970621,63.35078534031413,191
080119-49,0,29.165895462036133,61.78759765625,0.4720347864032211,35.748792270531396,207
080119-55,1,46.85504341125488,75.1038818359375,0.623869795619999,52.816901408450704,142
101017-04,0,51.73488998413086,65.34728240966797,0.7916915298757216,75.14792899408283,169
101017-07,1,37.347293853759766,67.1131820678711,0.5564822394502277,47.8021978021978,182
101017-09,1,29.3782958984375,59.150390625,0.4966712068680865,61.016949152542374,177
101017-11,1,28.689148902893066,76.15969848632812,0.37669724897930396,43.02325581395349,172
101017-12,1,21.99069595336914,80.181396484375,0.27426182278646744,16.41025641025641,195
101017-15,0,25.781394958496094,63.34418487548828,0.40700492095956364,52.27272727272727,88
101017-16,0,39.1658935546875,66.1968994140625,0.5916575232580654,77.05882352941177,170
101017-17,1,27.2720947265625,64.331787109375,0.42392875982436634,56.97674418604651,172
101017-18,0,32.75969314575195,55.5907096862793,0.5893015816964392,38.20754716981132,212
101017-19,1,28.9844970703125,75.55659484863281,0.3836130668458383,52.41379310344828,145
101017-21,1,28.39069652557373,92.2914810180664,0.30761990394342187,33.33333333333333,138
101017-24,1,17.381397247314453,52.953495025634766,0.32823890545657325,26.519337016574585,181
101017-26,0,46.99690628051758,88.393798828125,0.5316765078950785,79.61783439490446,157
