slide,pos,cov
280120-07,0,34.523148148148145
280120-07,1,32.523763020833336
280120-07,2,32.20404730902778
280120-07,3,32.396140769675924
280120-07,4,34.660337094907405
280120-07,5,32.16567201967593
280120-07,6,27.890860098379626
280120-07,7,36.451822916666664
280120-07,8,32.75047019675926
280120-07,9,33.11568648726852
280120-08,0,27.682942708333336
280120-08,1,28.518211082175927
280120-08,2,27.392560040509263
280120-08,3,26.603877314814817
280120-08,4,29.61543330439815
280120-08,5,25.269259982638886
280120-08,6,23.875379774305554
280120-08,7,30.389521846064817
280120-08,8,29.9609375
280120-08,9,29.705385561342588
280120-09,0,24.701786747685187
280120-09,1,23.42475043402778
280120-09,2,28.162434895833332
280120-09,3,25.96014178240741
280120-09,4,25.65505642361111
280120-09,5,24.764286747685187
280120-09,6,25.932689525462965
280120-09,7,27.745189525462965
280120-09,8,27.140064380787038
280120-09,9,25.262351707175927
280120-10,0,26.583857783564813
280120-10,1,27.589662905092595
280120-10,2,21.63700810185185
280120-10,3,22.364366319444446
280120-10,4,27.395670572916668
280120-10,5,28.03837528935185
280120-10,6,26.072428385416668
280120-10,7,21.36087601273148
280120-10,8,25.906141493055557
280120-10,9,26.95970775462963
280120-11,0,32.00915075231482
280120-11,1,30.033402054398152
280120-11,2,30.675401475694446
280120-11,3,34.28314887152778
280120-11,4,30.170337818287035
280120-11,5,34.107584635416664
280120-11,6,30.821433738425924
280120-11,7,31.748281973379626
280120-11,8,29.538519965277775
280120-11,9,28.43234592013889
280120-12,0,27.87384259259259
280120-12,1,26.696180555555554
280120-12,2,29.31566478587963
280120-12,3,27.83490668402778
280120-12,4,27.72605613425926
280120-12,5,29.63163700810185
280120-12,6,28.10747612847222
280120-12,7,28.98146339699074
280120-12,8,26.186577690972225
280120-12,9,26.58148871527778
280120-13,0,32.24949363425926
280120-13,1,31.695692274305554
280120-13,2,32.59758391203704
280120-13,3,28.914623119212962
280120-13,4,30.66017433449074
280120-13,5,31.45723017939815
280120-13,6,29.602864583333332
280120-13,7,30.263310185185183
280120-13,8,25.745135271990744
280120-13,9,29.298267505787035
280120-14,0,33.08006004050926
280120-14,1,29.386085792824073
280120-14,2,31.02537254050926
280120-14,3,33.82273582175926
280120-14,4,32.55738208912037
280120-14,5,33.39793113425926
280120-14,6,32.91315827546296
280120-14,7,34.887514467592595
280120-14,8,31.560908564814817
280120-14,9,31.77615017361111
280120-15,0,26.46265552662037
280120-15,1,29.00685402199074
280120-15,2,24.165400752314813
280120-15,3,26.17867476851852
280120-15,4,26.209382233796298
280120-15,5,27.60932074652778
280120-15,6,28.960196035879633
280120-15,7,27.77472149884259
280120-15,8,26.31660517939815
280120-15,9,29.281810619212962
280120-18,0,34.76609519675926
280120-18,1,28.692021122685183
280120-18,2,28.24310980902778
280120-18,3,26.806966145833332
280120-18,4,23.54738136574074
280120-18,5,27.68701171875
280120-18,6,25.927879050925927
280120-18,7,26.18189380787037
280120-18,8,25.425708912037038
280120-18,9,28.04595269097222
280120-19,0,25.108091001157405
280120-19,1,30.870930989583336
280120-19,2,20.078703703703702
280120-19,3,26.962565104166668
280120-19,4,23.736056857638886
280120-19,5,26.602864583333336
280120-19,6,27.59228515625
280120-19,7,28.349880642361114
280120-19,8,27.50712528935185
280120-19,9,22.889756944444446
280120-20,0,31.448043258101855
280120-20,1,32.112937644675924
280120-20,2,30.183015046296298
280120-20,3,30.585865162037035
280120-20,4,33.6748046875
280120-20,5,30.730794270833332
280120-20,6,33.70891203703704
280120-20,7,34.73594835069444
280120-20,8,30.83501519097222
280120-20,9,34.65632233796296
280120-21,0,34.681803385416664
280120-21,1,34.832736545138886
280120-21,2,31.686903211805557
280120-21,3,29.359284577546298
280120-21,4,32.48488136574074
280120-21,5,32.425437644675924
280120-21,6,29.095088252314817
280120-21,7,32.69927300347222
280120-21,8,30.316225405092595
280120-21,9,31.455801504629626
280120-22,0,40.318540219907405
280120-22,1,31.611472800925927
280120-22,2,33.43108000578704
280120-22,3,36.67668547453704
280120-22,4,39.777072482638886
280120-22,5,33.92438874421296
280120-22,6,35.591995804398145
280120-22,7,37.328305844907405
280120-22,8,32.505117910879626
280120-22,9,34.39400679976852
280120-24,0,24.77631293402778
280120-24,1,28.519332320601855
280120-24,2,26.084147135416668
280120-24,3,23.757685908564817
280120-24,4,22.51710792824074
280120-24,5,24.01019965277778
280120-24,6,25.761646412037038
280120-24,7,31.11134620949074
280120-24,8,26.90986689814815
280120-24,9,28.063783998842595
280120-26,0,24.7890625
280120-26,1,22.957845052083332
280120-26,2,25.49292896412037
280120-26,3,25.155996817129626
280120-26,4,24.384928385416664
280120-26,5,22.696198640046298
280120-26,6,25.672815393518515
280120-26,7,22.80029296875
280120-26,8,23.170066550925924
280120-26,9,25.555808738425927
280120-29,0,27.57051142939815
280120-29,1,24.961046006944446
280120-29,2,27.09375
280120-29,3,30.315176504629633
280120-29,4,26.677336516203702
280120-29,5,29.886881510416668
280120-29,6,24.71189597800926
280120-29,7,28.5029296875
280120-29,8,25.709400318287035
280120-29,9,29.443522135416668
280120-30,0,28.374294704861114
280120-30,1,26.47846137152778
280120-30,2,28.98124638310185
280120-30,3,30.320185908564817
280120-30,4,28.549660011574073
280120-30,5,24.734700520833332
280120-30,6,25.503345630787038
280120-30,7,26.257722077546298
280120-30,8,26.89058883101852
280120-30,9,22.569462528935187
280120-31,0,25.27325665509259
280120-31,1,34.08684172453704
280120-31,2,31.532335069444446
280120-31,3,28.29423466435185
280120-31,4,33.926088686342595
280120-31,5,28.466706452546298
280120-31,6,31.55396412037037
280120-31,7,30.155852141203702
280120-31,8,29.481354890046298
280120-31,9,29.13203486689815
280120-35,0,28.227285879629633
280120-35,1,29.231174045138893
280120-35,2,26.237539785879633
280120-35,3,30.185655381944443
280120-35,4,28.00708912037037
280120-35,5,29.49660011574074
