slide,pos,recall
080119-07,1,78.66666666666666
080119-10,1,69.40298507462687
080119-25,0,82.85714285714286
080119-39,1,77.35849056603774
080119-44,1,62.16216216216216
080119-45,1,53.92670157068062
080119-46,1,79.46428571428571
080119-47,0,84.97409326424871
080119-48,0,86.91099476439791
080119-49,0,75.36231884057972
080119-55,1,80.28169014084507
101017-04,0,94.0828402366864
101017-07,1,70.87912087912088
101017-09,1,73.44632768361582
101017-11,1,75.0
101017-12,1,77.43589743589745
101017-15,0,68.18181818181817
101017-16,0,93.52941176470588
101017-17,1,79.06976744186046
101017-18,0,43.86792452830189
101017-19,1,75.86206896551724
101017-21,1,86.95652173913044
101017-24,1,76.79558011049724
101017-26,0,81.52866242038218
