slide,inst,rec@0.5,area,ecc,extent,axis_ratio
280120-07,1,1,10304,0.4265852725507565,0.7666666666666667,1.105647556210814
280120-07,2,1,7677,0.7910535192698988,0.81888,1.634662831717191
280120-07,3,1,9486,0.2560349472927284,0.7769041769041769,1.0344818390341946
280120-07,4,1,11715,0.794074648842355,0.7129381694255112,1.6452232477347974
280120-07,5,1,10427,0.3388024865802336,0.7553607649956534,1.0628601860859652
280120-07,6,1,8415,0.4662855328438231,0.7710280373831776,1.13041064244744
280120-07,7,1,9550,0.2819452554712066,0.7751623376623377,1.0422849869785125
280120-07,8,1,11550,0.4181462438804793,0.7773066828184938,1.1008612105180076
280120-07,9,1,8548,0.4204382655327751,0.8159602901870943,1.1021455883057836
280120-07,10,1,10517,0.5435119302004575,0.7657637978738896,1.1913250911030575
280120-07,11,1,9526,0.4129544866308109,0.7662483912483913,1.0979941519037235
280120-07,12,1,9939,0.3050942962354616,0.751758565917858,1.050064837666554
280120-07,13,1,9310,0.5632746353722601,0.7811713374727304,1.210258527201652
280120-07,14,1,9630,0.3246287069763966,0.7821637426900585,1.057259558556198
280120-07,15,1,10830,0.5370318983280732,0.7590412111017661,1.185449410536377
280120-07,16,1,10583,0.6212062949986926,0.7417297448836557,1.2760846446965932
280120-07,17,0,6713,0.6194744712964624,0.8355738113019666,1.273858084897893
280120-07,18,1,11010,0.3498985366858535,0.7588916459884202,1.0674778319974942
280120-07,19,1,10030,0.2525113647597493,0.8067889317889317,1.0334913959670793
280120-07,20,1,11236,0.5645899431653992,0.7674863387978142,1.2115755620764237
280120-07,21,1,7311,0.4770921762783271,0.7886731391585761,1.1378463774923255
280120-07,22,1,8771,0.417794334592052,0.7519718792866941,1.100665029155648
280120-07,23,1,9723,0.6584842015962088,0.755947753071062,1.3287367021057253
280120-07,24,1,9143,0.7366895902474313,0.7231097753875356,1.4787844834926047
280120-07,25,1,7143,0.7961192346074489,0.7371517027863778,1.6525107390055558
280120-07,26,0,7893,0.3147226265282198,0.7589423076923076,1.0535368607110644
280120-07,27,1,8655,0.3315194932268849,0.7784673502428494,1.059941415447463
280120-07,28,0,4370,0.8862202060140371,0.7450980392156863,2.1585953243225746
280120-07,29,1,7988,0.4815121359844063,0.783751962323391,1.140980167361883
280120-07,30,1,7274,0.5773306067376661,0.8278138158643451,1.2247240170996971
280120-07,31,1,8502,0.2323063382843528,0.7785714285714286,1.028126803348814
280120-07,32,1,5705,0.6068800404551288,0.8092198581560284,1.258188538460706
280120-07,33,1,8160,0.7153942279338523,0.8362369337979094,1.4311863185530138
280120-07,34,0,5397,0.8826263241855555,0.771,2.1273188269755288
280120-07,35,1,6706,0.6243187101961166,0.7884773662551441,1.280131526800722
280120-07,36,1,6847,0.6567860813015498,0.7271665250637214,1.3261246120002077
280120-07,37,1,9899,0.4833301497644989,0.7696314725548127,1.1422851428931653
280120-07,38,1,7478,0.6155600438355888,0.76681706316653,1.2688906249444674
280120-07,39,1,10941,0.6017218042284798,0.7865564342199857,1.2520255472510735
280120-07,40,0,7146,0.4769779890525472,0.7607793037368253,1.137766140840866
280120-07,41,1,8962,0.3068801339347913,0.7905786873676782,1.0506981039193148
280120-07,42,1,12446,0.5422164949471081,0.7220932931074495,1.1901378246675862
280120-07,43,1,7134,0.6645707117391836,0.7707433016421781,1.33828430650806
280120-07,44,1,10568,0.4053983440099193,0.7722323712093533,1.0939241850923094
280120-07,45,1,11125,0.7155528505761533,0.7342749653488219,1.431519130380485
280120-07,46,1,11546,0.5324111394128668,0.7809794372294372,1.1813545862821917
280120-07,47,1,9788,0.3365043468826326,0.7808536098923016,1.0619297096115234
280120-07,48,1,10305,0.2448010126450935,0.7728363581820908,1.031381492640381
