slide,field,raw,cells,median_area,coverage,otsu_coverage,secs
280120-07,pos005_EDOF_DENISOVAN_RGB,282,192,8763.5,30.64505570023148,32.16567201967593,135.78996515274048
280120-08,pos005_EDOF_DENISOVAN_RGB,211,111,11146.0,22.48683449074074,25.269259982638886,65.30091524124146
280120-09,pos005_EDOF_DENISOVAN_RGB,247,130,10227.0,23.510380497685183,24.764286747685187,65.73853850364685
280120-10,pos005_EDOF_DENISOVAN_RGB,254,154,8881.5,26.67768012152778,28.03837528935185,95.74329614639282
280120-11,pos005_EDOF_DENISOVAN_RGB,257,168,10069.5,31.077383535879626,34.107584635416664,96.17415165901184
280120-12,pos005_EDOF_DENISOVAN_RGB,259,163,9395.0,28.66375506365741,29.63163700810185,96.5022292137146
280120-13,pos005_EDOF_DENISOVAN_RGB,274,167,9592.0,29.181893807870367,31.45723017939815,103.25934052467346
280120-14,pos005_EDOF_DENISOVAN_RGB,265,162,10288.0,30.238154658564813,33.39793113425926,92.97886204719543
280120-15,pos005_EDOF_DENISOVAN_RGB,215,125,10209.0,24.47632740162037,27.60932074652778,61.908324003219604
280120-18,pos005_EDOF_DENISOVAN_RGB,199,132,11167.0,27.02593315972222,27.68701171875,67.89651346206665
280120-19,pos005_EDOF_DENISOVAN_RGB,232,145,9504.0,26.095992476851855,26.602864583333336,80.07600426673889
280120-20,pos005_EDOF_DENISOVAN_RGB,255,174,9424.5,29.782570167824073,30.730794270833332,107.74645471572876
280120-21,pos005_EDOF_DENISOVAN_RGB,281,188,9557.5,33.87885199652778,32.425437644675924,131.3093342781067
280120-22,pos005_EDOF_DENISOVAN_RGB,233,172,10982.0,33.458297164351855,33.92438874421296,100.97177243232727
280120-24,pos005_EDOF_DENISOVAN_RGB,192,132,9855.5,24.28125,24.01019965277778,64.90589499473572
280120-26,pos005_EDOF_DENISOVAN_RGB,176,124,10502.0,23.718424479166668,22.696198640046298,61.49972605705261
280120-29,pos005_EDOF_DENISOVAN_RGB,212,145,11174.0,29.60501663773148,29.886881510416668,82.07001185417175
280120-30,pos005_EDOF_DENISOVAN_RGB,207,133,9459.0,23.104401765046294,24.734700520833332,70.71609139442444
280120-31,pos005_EDOF_DENISOVAN_RGB,246,165,9213.0,28.78070746527778,28.466706452546298,102.7071533203125
280120-35,pos005_EDOF_DENISOVAN_RGB,198,144,11741.0,30.08857783564815,29.49660011574074,77.50058960914612
280120-36,pos005_EDOF_DENISOVAN_RGB,213,134,10652.0,26.82427300347222,26.72195095486111,72.98951888084412
280120-38,pos005_EDOF_DENISOVAN_RGB,249,165,9593.0,28.394205729166664,29.28369140625,96.22753381729126
280120-39,pos005_EDOF_DENISOVAN_RGB,218,151,9423.0,26.184823495370367,26.37943070023148,81.51866555213928
280120-40,pos005_EDOF_DENISOVAN_RGB,203,140,12677.0,33.03416160300926,31.99555121527778,72.75659441947937
280120-41,pos002_EDOF_DENISOVAN_RGB,211,146,9890.5,28.046079282407412,26.094690393518515,76.85286474227905
