thr,method,err,true
0.6,original,-6.454607909893689,48.431685273790535
0.6,fix_B,-5.494255524820886,48.431685273790535
0.6,cellpose_sam,-1.213269269405771,48.431685273790535
0.65,original,-5.916425604255494,38.91547049441787
0.65,fix_B,-5.120041494792538,38.91547049441787
0.65,cellpose_sam,-1.3435329772898896,38.91547049441787
0.7,original,-5.264300370619175,30.861244019138756
0.7,fix_B,-4.93393041853928,30.861244019138756
0.7,cellpose_sam,-1.2914988834851542,30.861244019138756
0.75,original,-4.427017878985907,23.099415204678362
0.75,fix_B,-3.9162005175296173,23.099415204678362
0.75,cellpose_sam,-1.3400290714911876,23.099415204678362
0.8,original,-2.6193163728980373,15.656565656565657
0.8,fix_B,-2.655441640080083,15.656565656565657
0.8,cellpose_sam,-1.1868479256804836,15.656565656565657
