slide,true,rep,d
280120-07,27.604166666666668,19.0,-8.604166666666668
280120-08,30.630630630630627,20.0,-10.630630630630627
280120-09,30.0,22.857142857142858,-7.142857142857142
280120-10,45.45454545454545,35.294117647058826,-10.160427807486627
280120-11,26.785714285714285,24.719101123595504,-2.066613162118781
280120-12,20.858895705521473,14.85148514851485,-6.007410557006622
280120-13,40.7185628742515,29.67032967032967,-11.048233203921825
280120-14,50.0,47.2972972972973,-2.7027027027027017
280120-15,42.4,34.24657534246575,-8.153424657534245
280120-18,17.424242424242426,15.151515151515152,-2.2727272727272734
280120-19,28.965517241379313,20.833333333333336,-8.132183908045977
280120-20,35.05747126436782,34.44444444444444,-0.6130268199233768
280120-21,22.340425531914892,20.0,-2.3404255319148923
280120-22,23.837209302325583,23.214285714285715,-0.6229235880398676
280120-24,31.818181818181817,28.125,-3.6931818181818166
280120-26,21.774193548387096,18.75,-3.024193548387096
280120-29,51.03448275862069,37.68115942028986,-13.353323338330831
280120-30,30.075187969924812,27.848101265822784,-2.227086704102028
280120-31,26.666666666666668,30.48780487804878,3.821138211382113
280120-35,24.305555555555554,23.28767123287671,-1.0178843226788423
280120-36,41.7910447761194,34.523809523809526,-7.267235252309874
280120-38,28.484848484848484,17.5,-10.984848484848484
280120-39,27.81456953642384,22.54901960784314,-5.2655499285807
280120-40,22.142857142857142,26.31578947368421,4.1729323308270665
280120-41,25.34246575342466,24.137931034482758,-1.2045347189419005
